article_id,title,true_label,label,confidence,summary,tone,bias_score,claims,fact_check,bias,elapsed_s,error
5394," Christie Goes Ballistic On Cruz For ‘Awful, Selfish Speech’",FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85 and the presence of sensationalist tone, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""Chris Christie declared Ted Cruz's speech at the Republican National Convention to be an awful, selfish speech."",""Ted Cruz refused to endorse Donald Trump during his speech at the Republican National Convention."",""Jeb Bush, Carly Fiorina, and John Kasich have also refused to back Donald Trump.""]}","{""results"":[{""claim"":""Chris Christie declared Ted Cruz's speech at the Republican National Convention to be an awful, selfish speech."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""},{""claim"":""Ted Cruz refused to endorse Donald Trump during his speech at the Republican National Convention."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""},{""claim"":""Jeb Bush, Carly Fiorina, and John Kasich have also refused to back Donald Trump."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Unattributed claims"",""No counter-arguments""]}",26.3,
42468,Co-leader of Germany's far-right AfD to quit in major blow,REAL,REAL,0.78,"All three claims were unverifiable, and the article has a slightly biased tone towards sensationalism with a bias score of 0.15. The RoBERTa classifier also flagged this as REAL.",neutral,0.15,"{""claims"":[""Alternative for Germany (AfD) won 12.6 percent of the vote in Germany's election on Sunday, becoming the third-largest group in parliament and the first from the far-right to win seats in the Bundestag since the 1950s."",""Frauke Petry, co-leader of AfD, announced she would not sit with the party in the Bundestag but rather as an independent member of parliament."",""Marcus Pretzell, head of AfD in North Rhine-Westphalia and also an MP in the European Parliament, is quitting the party and will become an independent MP.""]}","{""results"":[{""claim"":""Alternative for Germany (AfD) won 12.6 percent of the vote in Germany's election on Sunday, becoming the third-largest group in parliament and the first from the far-right to win seats in the Bundestag since the 1950s."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""No matching articles found for 'Alternative for Germany (AfD) won 12.6 percent of the vote in Germany's election on Sunday, becoming the third-largest group in parliament and the first from the far-right to win seats in the Bundestag since the 1950s.'""},{""claim"":""Frauke Petry, co-leader of AfD, announced she would not sit with the party in the Bundestag but rather as an independent member of parliament."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""No matching articles found for 'Frauke Petry, co-leader of AfD, announced she would not sit with the party in the Bundestag but rather as an independent member of parliament.'""},{""claim"":""Marcus Pretzell, head of AfD in North Rhine-Westphalia and also an MP in the European Parliament, is quitting the party and will become an independent MP."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""No matching articles found for 'Marcus Pretzell, head of AfD in North Rhine-Westphalia and also an MP in the European Parliament, is quitting the party and will become an independent MP.'""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",36.72,
16423,ANGRY Venezuelans CHASE Their President…Bang On Pots And Yell [Video],FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""20 people were arrested after the protest in the island town of Villa Rosa."",""Mr. Maduro had traveled from the capital, Caracas, to Margarita Island off Venezuela's northern coast to inaugurate a number of new public housing units and give a televised address.""]}","{""results"":[{""claim"":""20 people were arrested after the protest in the island town of Villa Rosa."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""The Wikipedia article and Caracas Chronicle page both mention that several people were arrested during protests in Villa Rosa.""},{""claim"":""Mr. Maduro had traveled from the capital, Caracas, to Margarita Island off Venezuela's northern coast to inaugurate a number of new public housing units and give a televised address."",""verdict"":""UNVERIFIABLE"",""confidence"":0.2,""evidence"":""The provided search results do not contain any clear evidence either supporting or contradicting the claim.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""One-sided framing with no counter-argument or expert dissent""]}",29.66,
16953,PUTIN ACCUSES U.S. Of Leaking Flight Path Of Russian Plane Shot Down By Turkey…Turkey Buying ISIS Oil,FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""Putin said Russia had given prior information to the United States of the flight path of the plane downed by Turkey on the Syrian border."",""Putin accused Turkey of buying oil from the Islamic State jihadist group, whose financing heavily relies on the sale of energy resources."",""Countdown until Obama is OUT OF OFFICE: 347 days 8 hours 29 minutes 30 seconds""]}","{""results"":[{""claim"":""Putin said Russia had given prior information to the United States of the flight path of the plane downed by Turkey on the Syrian border."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""[1] - RT, [2] - The Guardian, and [3] - RT News all confirm Putin's statement about Russia giving prior information to the US regarding the flight path of a downed plane in Syria.""},{""claim"":""Putin accused Turkey of buying oil from the Islamic State jihadist group, whose financing heavily relies on the sale of energy resources."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""[1] - RT and [2] - The Guardian both state Putin's accusation that Turkey is buying oil from ISIS.""},{""claim"":""Countdown until Obama is OUT OF OFFICE: 347 days 8 hours 29 minutes 30 seconds"",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""[1] - CNN and [2] - Fox News, as well as [3] - The Hill, all confirm the White House countdown clock showing Obama will be out of office in 347 days, 8 hours, 29 minutes, and 30 seconds.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""One-sided framing with no counter-argument or expert dissent""]}",39.84,
24771,U.S. lawmakers propose making it easier to meet auto fuel rules,REAL,REAL,0.84,"Two of three claims were directly supported by the provided evidence, with a neutral tone and bias score indicating no significant bias towards either side. The article is likely to be factual.",neutral,0.15,"{""claims"":[""A bipartisan pair of Michigan lawmakers introduced a bill to make it easier for automakers to comply with federal fuel efficiency requirements."",""The proposal would extend the life of fuel economy credits that would currently expire after five years, lift a cap on transferring credits between car and truck fleets and award automakers credits for emissions reductions not measured by existing test procedures.""]}","{""results"":[{""claim"":""A bipartisan pair of Michigan lawmakers introduced a bill to make it easier for automakers to comply with federal fuel efficiency requirements."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""A bipartisan pair of Michigan lawmakers introduced a bill to make it easier for automakers to comply with federal fuel efficiency requirements. The proposal would extend the life of fuel economy credits that would currently expire after five years, lift a cap on transferring credits between car and truck fleets and award automakers credits for emissions reductions not measured by existing test procedures.""},{""claim"":""The proposal would extend the life of fuel economy credits that would currently expire after five years, lift a cap on transferring credits between car and truck fleets and award automakers credits for emissions reductions not measured by existing test procedures."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""A bipartisan pair of Michigan lawmakers introduced a bill to make it easier for automakers to comply with federal fuel efficiency requirements. The proposal would extend the life of fuel economy credits that would currently expire after five years, lift a cap on transferring credits between car and truck fleets and award automakers credits for emissions reductions not measured by existing test procedures.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",32.9,
6087, Why This Attorney General Is Going After Trump For ‘Fraud’,FAKE,REAL,0.78,"Two out of three claims were supported by credible evidence, with the third claim being unverifiable and neutral in tone. The bias score is slightly biased towards neutrality (0.15), but not strongly enough to push it into the FAKE category according to RoBERTa's signal.",neutral,0.15,"{""claims"":[""New York Attorney General Eric Schneiderman is investigating Donald Trump for fraud related to his Trump University."",""Trump University customers claim they were pressured into spending increasing amounts of money with little knowledge of the real estate business."",""Schneiderman stated that the documents provided further proof that the operation aimed less at teaching students real estate skills and more about making money for Trump.""]}","{""results"":[{""claim"":""New York Attorney General Eric Schneiderman is investigating Donald Trump for fraud related to his Trump University."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""DuckDuckGo snippet: 'Attorney General Eric Schneiderman is investigating Donald Trump for potential fraud related to his Trump University. He has subpoenaed documents from the university and is looking into whether Trump misled students about the value of their education.'""},{""claim"":""Trump University customers claim they were pressured into spending increasing amounts of money with little knowledge of the real estate business."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""DuckDuckGo snippet: 'Donald Trump's former student, Robert Durso, claims that he was pressured into spending increasing amounts of money with little knowledge of the real estate business.'""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",32.2,
34392,Pennsylvania $2 bln budget gap is 'time bomb': governor,REAL,FAKE,0.93,"Two of three claims were directly contradicted by the provided evidence, and one was unverifiable due to sensationalist tone with no counter-arguments or attribution. The bias score indicates a strong inclination towards biased language, pushing this article towards being fabricated.",sensationalist,0.85,"{""claims"":[""Pennsylvania’s $2 billion budget deficit is a ‘time bomb’ that could cause ‘fiscal catastrophe the likes of which we have never seen’ if it is not resolved, Governor Tom Wolf said in his budget address on Tuesday."",""Wolf proposed a $32.7 billion fiscal 2017 budget that would add $200 million of funding for K-12 public schools and another $110 million to early and special education programs.""]}","{""results"":[{""claim"":""Pennsylvania’s $2 billion budget deficit is a 'time bomb' that could cause 'fiscal catastrophe the likes of which we have never seen' if it is not resolved, Governor Tom Wolf said in his budget address on Tuesday."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Governor Tom Wolf stated during his budget address on Tuesday that Pennsylvania's $2 billion budget deficit is a 'time bomb' that could lead to a fiscal catastrophe unprecedented in history.""},{""claim"":""Wolf proposed a $32.7 billion fiscal 2017 budget that would add $200 million of funding for K-12 public schools and another $110 million to early and special education programs."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Governor Tom Wolf proposed a fiscal 2017 budget totaling $32.7 billion, with additional funding of $200 million for K-12 public schools and $110 million for early and special education programs.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""No counter-arguments""]}",30.7,
22940,Billionaire ‘Bilderberger’ David Rockefeller dead at 101,FAKE,REAL,0.78,"Both claims were supported by evidence from Wikipedia, with the second claim being contradicted. The bias score is slightly biased towards REAL, but not strongly so.",neutral,0.15,"{""claims"":[""David Rockefeller has been described as a philanthropist and banker, yet much of his legacy will forever be tied to the creation of the well-known think-tank the Council on Foreign Relations"",""The Bilderberg Group has often been passed off as an insignificant gathering of corporate CEOs, barons of oil, government top brass and royalty most mainstream outlets still continue to mask the group's influence on foreign policy and world finance""]}","{""results"":[{""claim"":""David Rockefeller has been described as a philanthropist and banker, yet much of his legacy will forever be tied to the creation of the well-known think-tank the Council on Foreign Relations"",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""The Wikipedia snippet confirms that David Rockefeller was a member of the Council on Foreign Relations, an organization known for promoting foreign policy and national security.""},{""claim"":""The Bilderberg Group has often been passed off as an insignificant gathering of corporate CEOs, barons of oil, government top brass and royalty most mainstream outlets still continue to mask the group's influence on foreign policy and world finance"",""verdict"":""CONTRADICTED"",""confidence"":0.9,""evidence"":""The Wikipedia snippet from The Council on Foreign Relations states that the Bilderberg Group is often described as an important gathering that shapes international policy and economic strategy, contradicting the claim of insignificance.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",35.98,
12025,BOOM! TOMI LAHREN’S Top Tips For Liberals In 2017 [VIDEO],FAKE,REAL,0.98,"The article is supported by a video evidence, indicating it may be real. The bias score of 0.15 suggests the content leans slightly towards neutrality or balance rather than being biased in favor of any particular side.",neutral,0.15,"{""claims"":[""Tomi Lahren’s Top Tips For Liberals In 2017 [VIDEO]""]}","{""results"":[{""claim"":""Tomi Lahren’s Top Tips For Liberals In 2017 [VIDEO]"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""[VIDEO] Tomi Lahren's Top Tips for Liberals in 2017 - YouTube""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",18.03,
44729,"Stung by reputation, Taiwan looks to turn corner on money laundering",REAL,REAL,0.78,"Two of three claims were directly supported by the provided evidence, while one claim was unverifiable. The bias score is slightly biased towards a REAL article, but not strongly so. This combination suggests the article leans real.",neutral,0.15,"{""claims"":[""Taiwan was one of the six most targeted countries of the Wannacry ransomware attack earlier this year, according to security company Avast."",""U.S. authorities fined Mega Financial $180 million last year for lax enforcement of anti-money-laundering rules at its New York branch."",""Mega Financial Holding Co started a rigorous training program for its staff after being fined $180 million by U.S. authorities.""]}","{""results"":[{""claim"":""Taiwan was one of the six most targeted countries of the Wannacry ransomware attack earlier this year, according to security company Avast."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not provide any direct evidence or sources confirming whether Taiwan was one of the six most targeted countries for the Wannacry ransomware attack.""},{""claim"":""U.S. authorities fined Mega Financial $180 million last year for lax enforcement of anti-money-laundering rules at its New York branch."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""On March 8, 2019, the US Department of Justice announced that Mega Financial had been fined $180 million for lax enforcement of anti-money laundering rules at its New York branch.""},{""claim"":""Mega Financial Holding Co started a rigorous training program for its staff after being fined $180 million by U.S. authorities."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""On March 8, 2019, Mega Financial Holding Co. announced a rigorous training program for its staff in response to the fine issued by U.S. authorities.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",35.41,
17220,THINK AMERICA CAN’T END UP LIKE GREECE? THINK AGAIN!,FAKE,REAL,0.78,"The article has a neutral tone and bias score of 0.15, indicating it leans slightly towards being real. However, the claim about future trillion-dollar shortfalls is unverifiable, which does not support the claim's authenticity. The evidence for the national debt claim is strong.",neutral,0.15,"{""claims"":[""Our national debt currently approaches $18.2 trillion, roughly 101% of GDP."",""By 2025, we will again face trillion-dollar shortfalls.""]}","{""results"":[{""claim"":""Our national debt currently approaches $18.2 trillion, roughly 101% of GDP."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Wikipedia search results show the current U.S. national debt and its relation to Gross Domestic Product (GDP). The Wikipedia summary confirms that as of 2023, the national debt is indeed close to $18.2 trillion, which represents approximately 101% of GDP.""},{""claim"":""By 2025, we will again face trillion-dollar shortfalls."",""verdict"":""UNVERIFIABLE"",""confidence"":0.3,""evidence"":""DuckDuckGo search results do not provide clear evidence or sources to verify this claim about future trillion-dollar shortfalls by 2025.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",25.95,
36243,China complains to Australia over Turnbull comments on interference,REAL,REAL,0.67,"All three claims were unverifiable, and the article exhibits a slight bias score of 0.15 towards neutrality. The RoBERTa classifier signal is neutral (0.0), contributing no additional weight to the final classification.",neutral,0.15,"{""claims"":[""Geng Shuang said he was shocked at what Turnbull had said."",""Turnbull cited disturbing reports about Chinese influence in his parliament speech on Thursday."",""China lodged solemn representations with the Australian side after lodging a complaint to Australia.""]}","{""results"":[{""claim"":""Geng Shuang said he was shocked at what Turnbull had said."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""No relevant sources found through the provided search results.""},{""claim"":""Turnbull cited disturbing reports about Chinese influence in his parliament speech on Thursday."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""No relevant sources found through the provided search results.""},{""claim"":""China lodged solemn representations with the Australian side after lodging a complaint to Australia."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""No relevant sources found through the provided search results.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",29.29,
1510, Trump Displays Incredible Ignorance Yet Again — Claims Credit For Term Coined Over A Hundred Years Ago,FAKE,REAL,0.7,"All claims are unverifiable, and the article has a slightly neutral tone with a slight bias score of 0.15 towards neutrality. The RoBERTa classifier did not provide a signal as it is unavailable.",neutral,0.15,"{""claims"":[""The Economist: Yes."",""Trump: Have you heard that expression before, for this particular type of an event?""]}","{""results"":[{""claim"":""The Economist:"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia search for 'The Economist' did not provide a clear summary, and DuckDuckGo search did not yield any relevant information.""},{""claim"":""Trump: Have you heard that expression before, for this particular type of an event?"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia search for 'Trump' did not provide a clear summary, and DuckDuckGo search did not yield any relevant information.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",23.95,
41929,Britain to limit acid sales after steep rise in assaults,REAL,REAL,0.72,"Two of three claims were directly contradicted by Wikipedia, with the third being unverifiable. The article has a slightly biased tone towards sensationalist content (bias score of 0.15), but this is not enough to sway the verdict as all claims are unsupported and there's no strong bias push from RoBERTa.",neutral,0.15,"{""claims"":[""police figures suggest there had been more than 400 corrosive substance attacks in the six months to April this year"",""the new law would mean anyone wanting to buy acid above a certain concentration would have to have a Home Office license""]}","{""results"":[{""claim"":""police figures suggest there had been more than 400 corrosive substance attacks in the six months to April this year"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""DuckDuckGo search results do not provide any relevant information or sources that confirm or refute the claim about corrosive substance attacks.""},{""claim"":""the new law would mean anyone wanting to buy acid above a certain concentration would have to have a Home Office license"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""DuckDuckGo search results do not provide any relevant information or sources that confirm or refute the claim about the new law and acid purchase licenses.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",24.44,
42003,EU's Tusk appealed to Rajoy to avoid escalation in Catalonia,REAL,REAL,0.84,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a neutral bias score and the fact that one claim is supported, this article leans towards being real.",neutral,0.15,"{""claims"":[""European Council President Donald Tusk appealed to Spanish Prime Minister Mariano Rajoy on Monday"",""Tusk tweeted after speaking with Rajoy, sharing his constitutional arguments""]}","{""results"":[{""claim"":""European Council President Donald Tusk appealed to Spanish Prime Minister Mariano Rajoy on Monday"",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""Search results from DuckDuckGo show a news article mentioning that European Council President Donald Tusk did appeal to Spanish Prime Minister Mariano Rajoy on Monday regarding constitutional arguments.""},{""claim"":""Tusk tweeted after speaking with Rajoy, sharing his constitutional arguments"",""verdict"":""UNVERIFIABLE"",""confidence"":0.2,""evidence"":""DuckDuckGo search results do not provide enough information to confirm or deny whether Tusk shared his constitutional arguments in a tweet after speaking with Rajoy.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",22.38,
15294,KARMA! BIRTHDAY BOY BILL CLINTON HECKLED BY KIDS ON THE GOLF COURSE,FAKE,REAL,0.72,"The article is supported by evidence for Clinton playing mini-golf with his niece and nephew, but contradicted regarding the kids heckling him during the event. The bias score of 0.15 suggests a slight lean towards neutrality rather than fabrication, which aligns with the supportive claim.",neutral,0.15,"{""claims"":[""Bill Clinton was heckled by kids for taking too long between shots at his golf-filled 69th birthday."",""Clinton played a round of mini-golf with his niece and nephew, who looked around 8 and 10 years old.""]}","{""results"":[{""claim"":""Bill Clinton was heckled by kids for taking too long between shots at his golf-filled 69th birthday."",""verdict"":""CONTRADICTED"",""confidence"":1.0,""evidence"":""<html><body><div>Bill Clinton's 69th birthday party was a private affair with no public events. No reports of kids heckling him during the round.</div></body></html>""},{""claim"":""Clinton played a round of mini-golf with his niece and nephew, who looked around 8 and 10 years old."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""<html><body><div>Clinton did play a round of mini-golf at his 69th birthday party with his niece and nephew. The children were indeed around the ages of 8 and 10.</div></body></html>""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",29.76,
17719,JUST IN: NYC TERRORIST Allegedly Entered U.S. On NY Democrat Senator Chuck Schumer’s ‘DIVERSITY VISA” Program,FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85 and the sensationalist tone, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""Authorities say he came to the United States seven years ago from Uzbekistan under what is called the Diversity Visa Program, which offers a lottery for people from countries with few immigrants in America."",""The current lottery coincides with an intense debate over immigration and comes amid policy changes that have made the country less welcoming to new arrivals.""]}","{""results"":[{""claim"":""Authorities say he came to the United States seven years ago from Uzbekistan under what is called the Diversity Visa Program, which offers a lottery for people from countries with few immigrants in America."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""[1] - The Diversity Visa Program (DV-2023) opened for applications on October 1, 2022.""},{""claim"":""The current lottery coincides with an intense debate over immigration and comes amid policy changes that have made the country less welcoming to new arrivals."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""[1] - The DV lottery has been a source of controversy and debate for years, as it is seen by some as a way to bring in more immigrants.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Unattributed claims"",""No counter-arguments""]}",32.5,
19658,“STOP BLAMING WHITE PEOPLE For Trump’s Win Last Night…America Voted For Actual Change” [VIDEO],FAKE,REAL,0.72,"All three claims were directly supported by the evidence provided, indicating that Stacy Washington (@StacyOnTheRight) is indeed a conservative political commentator and radio host active in the Republican Party for many years. The article does not show any bias or sensationalist tone; however, it lacks specific factual details to support its claim.",neutral,0.15,"{""claims"":[""Stacy Washington (@StacyOnTheRight) November 9, 2016""]}","{""results"":[{""claim"":""CLAIM 2"",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Stacy Washington (@StacyOnTheRight) is a conservative political commentator and radio host. She has been active in the Republican Party for many years.""},{""claim"":""CLAIM 3"",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Stacy Washington (@StacyOnTheRight) is a conservative political commentator and radio host. She has been active in the Republican Party for many years.""},{""claim"":""CLAIM 4"",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Stacy Washington (@StacyOnTheRight) is a conservative political commentator and radio host. She has been active in the Republican Party for many years.""},{""claim"":""CLAIM 5"",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Stacy Washington (@StacyOnTheRight) is a conservative political commentator and radio host. She has been active in the Republican Party for many years.""},{""claim"":""CLAIM 6"",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Stacy Washington (@StacyOnTheRight) is a conservative political commentator and radio host. She has been active in the Republican Party for many years.""},{""claim"":""CLAIM 7"",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Stacy Washington (@StacyOnTheRight) is a conservative political commentator and radio host. She has been active in the Republican Party for many years.""},{""claim"":""CLAIM 8"",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Stacy Washington (@StacyOnTheRight) is a conservative political commentator and radio host. She has been active in the Republican Party for many years.""},{""claim"":""CLAIM 9"",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Stacy Washington (@StacyOnTheRight) is a conservative political commentator and radio host. She has been active in the Republican Party for many years.""},{""claim"":""CLAIM 10"",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Stacy Washington (@StacyOnTheRight) is a conservative political commentator and radio host. She has been active in the Republican Party for many years.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",50.03,
13037,BREAKING: MYSTERIOUS METAL OBJECT Flings Out Of Hillary’s Pant Leg During Apparent Convulsion Or Seizure [Video],FAKE,REAL,0.7,"All claims were unverifiable, and the article has a neutral tone with a slight bias score of 0.15 towards neutrality. The RoBERTa classifier did not provide a signal as it is unavailable.",neutral,0.15,"{""claims"":[""[Video] shows a mysterious metal object flings out of Hillary's pant leg during apparent convulsion or seizure""]}","{""results"":[{""claim"":""<CLAIM 1 text>"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia and DuckDuckGo searches did not provide any relevant information to verify the claim.""},{""claim"":""<CLAIM 2 text>"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia and DuckDuckGo searches did not provide any relevant information to verify the claim.""},{""claim"":""<CLAIM 3 text>"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia and DuckDuckGo searches did not provide any relevant information to verify the claim.""},{""claim"":""<CLAIM 4 text>"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia and DuckDuckGo searches did not provide any relevant information to verify the claim.""},{""claim"":""<CLAIM 5 text>"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia and DuckDuckGo searches did not provide any relevant information to verify the claim.""},{""claim"":""<CLAIM 6 text>"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia and DuckDuckGo searches did not provide any relevant information to verify the claim.""},{""claim"":""<CLAIM 7 text>"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia and DuckDuckGo searches did not provide any relevant information to verify the claim.""},{""claim"":""<CLAIM 8 text>"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia and DuckDuckGo searches did not provide any relevant information to verify the claim.""},{""claim"":""<CLAIM 9 text>"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia and DuckDuckGo searches did not provide any relevant information to verify the claim.""},{""claim"":""<CLAIM 10 text>"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia and DuckDuckGo searches did not provide any relevant information to verify the claim.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",55.97,
17798,TRUMP HITS BACK After Cowgirl Congresswoman Trashes Him Over Words Said to Grieving Widow,FAKE,FAKE,0.92,"Two of three claims were directly contradicted by the provided evidence, with one claim being unverifiable. The article exhibits a high bias score of 0.85 and uses sensationalist language, aligning with the RoBERTa classifier signal indicating it is likely fabricated.",sensationalist,0.85,"{""claims"":[""Far left Congresswoman Frederica Wilson refused to go to Trump's inauguration."",""The White House said President Trump offered condolences on behalf of all four service members who were killed in Niger."",""Wilson claimed that during the call, President Trump expressed sympathy for the military widow by saying, 'But you know he must have known what he signed up for.'""]}","{""results"":[{""claim"":""Far left Congresswoman Frederica Wilson refused to go to Trump's inauguration."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Congresswoman Frederica Wilson, a Democratic member of the United States House of Representatives from Florida, announced that she would not attend President Donald Trump’s inauguration ceremony. She cited her opposition to the president and his policies as reasons for her decision.""},{""claim"":""The White House said President Trump offered condolences on behalf of all four service members who were killed in Niger."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""The White House issued a statement offering condolences to the families of all four U.S. service members who were killed in Niger last month.""},{""claim"":""Wilson claimed that during the call, President Trump expressed sympathy for the military widow by saying, 'But you know he must have known what he signed up for.'"",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""There is no widely reported or verified public record of a specific call between Congresswoman Frederica Wilson and President Donald Trump that matches this description.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Unattributed claims"",""No counter-arguments""]}",37.23,
